GameID,Date,HomeTeam,HomeScore,AwayTeam,AwayScore,HomeMA,AwayMA
106,1/28,Academy of Notre Dame,47,Notre Dame Cristo Rey,25,True,True
107,1/23,Agawam,21,Drury,51,True,True
108,1/29,Academy of Notre Dame,29,Nashoba Valley Tech,22,True,True
109,1/28,Agawam,37,Chicopee,35,True,True
110,1/30,Academy of Notre Dame,24,Lynn VT,49,True,True
111,1/29,Agawam,43,Chicopee Comp,21,True,True
112,2/2,Academy of Notre Dame,29,Minuteman Regional,50,True,True
113,2/2,Agawam,40,Renaissance School,49,True,True
114,2/5,Academy of Notre Dame,34,Cristo Rey Boston,14,True,True
115,2/3,Agawam,51,Holyoke,28,True,True
116,2/6,Academy of Notre Dame,48,Nashoba Valley Tech,27,True,True
117,2/5,Agawam,28,Pope Francis,54,True,True
118,2/9,Academy of Notre Dame,54,Innovation Academy,24,True,True
119,2/7,Agawam,39,East Longmeadow,37,True,True
120,12/20,Acad. Of Holy Names,60,Malden Catholic,61,False,True
121,2/11,Agawam,29,Springfield Central,83,True,True
122,12/11,Academy of the Pacific Rim,12,Neighborhood House,55,True,True
123,2/13,Agawam,41,Westfield,50,True,True
124,12/12,Academy of the Pacific Rim,20,Codman Academy,40,True,True
125,1/18,Albany,71,Renaissance School,45,False,True
126,12/16,Academy of the Pacific Rim,19,Maimonides,60,True,True
127,12/12,Algonquin,53,Westborough,44,True,True
128,12/18,Academy of the Pacific Rim,2,Argosy Collegiate Charter,63,True,True
129,12/16,Algonquin,33,Wachusett Regional,68,True,True
130,12/22,Algonquin,29,Natick,80,True,True
131,12/27,Algonquin,33,Milford,45,True,True
132,12/28,Algonquin,49,Medford,33,True,True
133,1/2,Algonquin,56,Lincoln-Sudbury,31,True,True
134,1/6,Algonquin,53,Leominster,48,True,True
135,1/9,Algonquin,41,Nashoba Regional,34,True,True
136,1/13,Algonquin,26,St. Mary's,58,True,True
137,1/16,Algonquin,47,Grafton,42,True,True
138,1/20,Algonquin,39,Shrewsbury,36,True,True
139,1/23,Algonquin,26,Wachusett Regional,62,True,True
140,1/30,Algonquin,47,Leominster,53,True,True
141,2/3,Algonquin,46,Nashoba Regional,33,True,True
142,2/5,Algonquin,31,Andover,46,True,True
143,2/6,Apponequet Regional,54,Seekonk,28,True,True
144,2/6,Algonquin,69,Grafton,41,True,True
145,2/11,Apponequet Regional,50,Dartmouth,38,True,True
146,2/10,Algonquin,33,Shrewsbury,44,True,True
147,2/13,Apponequet Regional,54,Seekonk,35,True,True
148,2/17,Algonquin,37,Medway,61,True,True
149,2/18,Algonquin,38,Hopkinton,48,True,True
150,2/16,Apponequet Regional,52,Central Catholic,43,True,True
151,12/12,Amesbury,52,Hamilton Wenham,43,True,True
152,2/19,Apponequet Regional,46,Bridgewater Raynham,31,True,True
153,12/16,Archbishop Williams,50,Bishop Feehan,61,True,True
154,12/16,Amesbury,52,Manchester Essex,62,True,True
155,12/19,Archbishop Williams,75,Cardinal Spellman,12,True,True
156,12/19,Amesbury,46,Georgetown,39,True,True
157,12/22,Archbishop Williams,69,Somerset Berkley Regional,28,True,True
158,12/22,Amesbury,54,Ipswich,23,True,True
159,12/27,Archbishop Williams,84,Georgetown,44,True,True
160,12/29,Amesbury,57,Randolph,33,True,True
161,12/29,Archbishop Williams,58,Braintree,51,True,True
162,12/30,Amesbury,52,Whittier RVT,46,True,True
163,1/2,Archbishop Williams,55,St. Mary's,67,True,True
164,1/6,Amesbury,46,Essex North Shore,35,True,True
165,1/9,Archbishop Williams,43,Bishop Fenwick,56,True,True
166,1/9,Amesbury,43,Triton Regional,26,True,True
167,1/12,Archbishop Williams,60,Arlington Catholic,42,True,True
168,1/12,Amesbury,58,Weston,41,True,True
169,1/15,Archbishop Williams,47,Cathedral,62,True,True
170,1/14,Amesbury,44,Beverly,54,True,True
171,1/19,Archbishop Williams,74,Wilmington,31,True,True
172,1/17,Amesbury,76,Muniz Academy,8,True,True
173,1/23,Archbishop Williams,38,Bishop Feehan,48,True,True
174,1/19,Amesbury,30,Pentucket Regional,62,True,True
175,1/29,Archbishop Williams,65,Norwell,46,True,True
176,1/23,Amesbury,55,Hamilton Wenham,44,True,True
177,1/30,Archbishop Williams,40,Arlington Catholic,53,True,True
178,1/28,Amesbury,47,Manchester Essex,60,True,True
179,2/3,Archbishop Williams,75,Bishop Guertin,45,True,False
180,1/30,Amesbury,39,North Reading,64,True,True
181,2/8,Archbishop Williams,47,Bishop Fenwick,56,True,True
182,2/3,Amesbury,64,Georgetown,51,True,True
183,2/11,Archbishop Williams,79,Canton,47,True,True
184,2/6,Amesbury,61,Bay Path RVT,27,True,True
185,2/13,Archbishop Williams,71,Norwell,50,True,True
186,2/10,Amesbury,48,Newburyport,62,True,True
187,2/15,Archbishop Williams,67,Boston Latin,21,True,True
188,2/12,Amesbury,43,Lynnfield,50,True,True
189,2/16,Archbishop Williams,45,Hingham,44,True,True
190,12/11,Amherst Pelham Regional,33,Ludlow,26,True,True
191,12/11,Argosy Collegiate Charter,33,South Shore Charter,37,True,True
192,12/13,Amherst Pelham Regional,39,Smith Academy,25,True,True
