GameID,Date,HomeTeam,HomeScore,AwayTeam,AwayScore,HomeMA,AwayMA
337,1/28,Atlantis Charter,36,Rising Tide Charter,44,True,True
338,1/20,Arlington,62,Watertown,49,True,True
339,2/2,Atlantis Charter,46,Sturgis East,36,True,True
340,1/23,Arlington,50,Winchester,39,True,True
341,2/4,Atlantis Charter,46,Westport,62,True,True
342,1/28,Arlington,64,North Andover,60,True,True
343,2/10,Atlantis Charter,46,Calvary Chapel Academy,69,True,True
344,1/30,Arlington,59,Belmont,44,True,True
345,2/12,Atlantis Charter,61,Match Charter Public,49,True,True
346,2/1,Arlington,49,Brockton,58,True,True
347,2/14,Atlantis Charter,56,Holbrook,74,True,True
348,2/3,Arlington,64,Reading Memorial,58,True,True
349,2/16,Atlantis Charter,77,Falmouth Academy,55,True,True
350,2/5,Arlington,84,Wakefield Memorial,45,True,True
351,12/16,Attleboro,69,Canton,41,True,True
352,2/6,Arlington,57,Woburn Memorial,51,True,True
353,12/20,Attleboro,70,Mansfield,51,True,True
354,2/10,Arlington,39,Lexington,63,True,True
355,12/22,Attleboro,83,Taunton,65,True,True
356,2/12,Arlington,63,Winchester,55,True,True
357,12/29,Attleboro,72,Georgetown,54,True,True
358,2/16,Arlington,62,North Andover,65,True,True
359,12/30,Attleboro,60,Cambridge Rindge & Latin,66,True,True
360,12/16,Ashland,35,Norwood,67,True,True
361,1/2,Attleboro,72,Milford,46,True,True
362,12/19,Ashland,23,Dedham,49,True,True
363,1/6,Attleboro,72,Oliver Ames,66,True,True
364,12/23,Ashland,53,Medfield,84,True,True
365,1/9,Attleboro,75,Franklin,51,True,True
366,1/13,Attleboro,68,Foxborough,44,True,True
367,12/30,Ashland,39,Marlborough,55,True,True
368,1/16,Attleboro,76,Sharon,33,True,True
369,1/5,Ashland,32,Dover-Sherborn,70,True,True
370,1/18,Attleboro,83,Bishop Feehan,80,True,True
371,1/7,Ashland,20,Medway,51,True,True
372,1/20,Attleboro,68,North Attleborough,38,True,True
373,1/9,Ashland,26,Holliston,50,True,True
374,1/23,Attleboro,93,King Philip Regional,45,True,True
375,1/11,Ashland,42,Ludlow,61,True,True
376,1/28,Attleboro,83,Stoughton,52,True,True
377,1/12,Ashland,51,Hopkinton,68,True,True
378,1/30,Attleboro,88,Taunton,55,True,True
379,1/16,Ashland,40,Westwood,63,True,True
380,2/1,Attleboro,60,Catholic Memorial,76,True,True
381,1/20,Ashland,43,Millis,48,True,True
382,2/3,Attleboro,81,Milford,52,True,True
383,1/23,Ashland,48,Bellingham,56,True,True
384,2/6,Attleboro,66,Franklin,42,True,True
385,1/28,Ashland,38,Seekonk,65,True,True
386,2/10,Attleboro,84,Sharon,41,True,True
387,1/30,Ashland,37,Norwood,68,True,True
388,2/13,Attleboro,93,King Philip Regional,44,True,True
389,2/3,Ashland,34,Dedham,60,True,True
390,2/16,Attleboro,69,Bridgewater Raynham,57,True,True
391,2/6,Ashland,58,Holliston,68,True,True
392,2/18,Attleboro,67,Bishop Feehan,64,True,True
393,2/9,Ashland,34,Norton,72,True,True
394,12/12,Auburn,56,Bay Path RVT,33,True,True
395,2/10,Ashland,39,Hopkinton,92,True,True
396,12/13,Auburn,52,Blackstone-Millville,43,True,True
397,2/13,Ashland,42,Westwood,62,True,True
398,12/17,Auburn,66,Montachusett RVT,50,True,True
399,12/12,Assabet Valley RVT,60,Tahanto Regional,68,True,True
400,12/27,Auburn,72,Bay Path RVT,36,True,True
401,1/2,Auburn,40,North Middlesex Regional,47,True,True
402,12/19,Assabet Valley RVT,73,Blackstone Valley RVT,86,True,True
403,1/5,Auburn,54,Millbury,71,True,True
404,12/22,Assabet Valley RVT,46,Marlborough,65,True,True
405,1/9,Auburn,70,Saint Paul Diocesan,46,True,True
406,12/29,Assabet Valley RVT,22,Leicester,41,True,True
407,1/14,Auburn,60,Hudson,45,True,True
408,1/6,Assabet Valley RVT,70,Parker Charter School,21,True,True
409,1/17,Auburn,64,Haldane,45,True,False
410,1/9,Assabet Valley RVT,49,University Park Campus,39,True,True
411,1/21,Auburn,69,Uxbridge,42,True,True
412,1/12,Assabet Valley RVT,57,Northbridge,63,True,True
413,1/27,Auburn,57,Wahconah Regional,52,True,True
414,1/14,Assabet Valley RVT,56,St. Bernard's,44,True,True
415,1/28,Auburn,61,Saint Paul Diocesan,48,True,True
416,2/1,Auburn,51,Foxborough,65,True,True
417,1/21,Assabet Valley RVT,43,Keefe Tech,31,True,True
418,2/4,Auburn,53,Montachusett RVT,34,True,True
419,1/23,Assabet Valley RVT,56,Parker Charter School,30,True,True
420,2/6,Auburn,62,Uxbridge,49,True,True
421,1/28,Assabet Valley RVT,50,University Park Campus,38,True,True
422,2/11,Auburn,67,Tantasqua Regional,58,True,True
423,1/30,Assabet Valley RVT,58,St. Bernard's,53,True,True
424,2/14,Auburn,37,Oakmont Regional,44,True,True
425,2/16,Auburn,71,Oxford,55,True,True
426,2/6,Assabet Valley RVT,43,Keefe Tech,46,True,True
427,2/18,Auburn,52,Westborough,60,True,True
428,2/9,Assabet Valley RVT,55,Bay Path RVT,54,True,True
429,2/12,Assabet Valley RVT,62,Hudson,65,True,True
430,12/15,Avon,56,South Shore VT,55,True,True
431,2/17,Assabet Valley RVT,45,Bristol Plymouth RVT,59,True,True
432,12/17,Avon,45,Upper Cape Cod RVT,69,True,True
433,2/19,Assabet Valley RVT,55,Keefe Tech,66,True,True
434,12/22,Avon,76,Old Colony RVT,75,True,True
435,12/15,Athol,33,Frontier Regional,68,True,True
436,12/30,Avon,58,Old Colony RVT,62,True,True
437,12/17,Athol,46,Pioneer Valley Regional,20,True,True
438,1/5,Avon,53,Calvary Chapel Academy,33,True,True
439,12/18,Athol,40,Easthampton,51,True,True
440,1/6,Avon,56,Tri-County RVT,33,True,True
441,12/22,Athol,47,Greenfield,77,True,True
